uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1676921244","20 Feb 2023, 19:27","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","i wanna tell u","977a277d-cc80-489b-ba30-58604e793101"
"1676921243","20 Feb 2023, 19:27","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","Bad Dream","9dfdb78d-9d0d-4079-8be0-152add78ffe7"
"1676921240","20 Feb 2023, 19:27","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","dance dance","2a13c4f9-f040-4101-aa83-230c0e6adcc1"
"1676921239","20 Feb 2023, 19:27","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","3.14159","464ebee2-d1dd-4cd5-9697-7efd777a5648"
"1676921232","20 Feb 2023, 19:27","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","Whenever",""
"1676921185","20 Feb 2023, 19:26","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","Mind Reader",""
"1676921168","20 Feb 2023, 19:26","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","Like A Mercedes",""
"1676921166","20 Feb 2023, 19:26","Lexie Liu","","","","有吗炒面 ALGTR",""
"1676068556","10 Feb 2023, 22:35","Lexie Liu","","","","玫瑰星云 Holy",""
"1672885977","05 Jan 2023, 02:32","Lexie Liu","","","","818(浙江卫视818晚会主题曲)",""
"1672885883","05 Jan 2023, 02:31","Lexie Liu","","","","地球蓝 Aqua Blue",""
"1672885874","05 Jan 2023, 02:31","Lexie Liu","","","","潘洛斯阶梯 Penrose",""
"1672885869","05 Jan 2023, 02:31","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","Manta",""
"1672885868","05 Jan 2023, 02:31","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","Bygone",""
"1672885867","05 Jan 2023, 02:31","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","Mulan",""
